0 24.479822 25.727554 17.585232 17.098810 17.388732 17.795274 
1 39.127840 39.064303 0.152873 0.154889 0.147423 0.152749 
2 30.958482 30.352150 0.018583 0.017127 0.018888 0.018557 
3 43.056498 44.234425 0.020120 0.021120 0.022023 0.021350 
4 74.787168 75.639558 0.183699 0.267373 0.227909 0.216307 
5 75.375032 64.364893 0.191065 0.112452 0.170792 0.196049 
6 35.647353 41.003048 0.068891 0.057022 0.060194 0.048041 
7 51.485766 55.968072 0.444196 0.405789 0.430971 0.418844 
8 23.206487 22.400903 0.954583 0.931611 0.857131 0.955691 
9 55.642051 61.046159 0.397695 0.453487 0.500891 0.479122 
10 73.047435 75.866693 0.722247 0.656123 0.632059 0.654003 
11 41.078845 49.106531 0.179884 0.201278 0.222513 0.245592 
12 76.203018 76.910371 0.124800 0.108236 0.135944 0.123817 
13 35.196845 37.080832 0.627688 0.642060 0.642772 0.620441 
14 31.323190 28.881868 0.711746 0.628468 0.575538 0.679466 
15 10.655901 9.760846 0.718021 0.667672 0.717970 0.598080 
16 0.000000 0.000000 0.544025 0.637222 0.636018 0.752196 
17 0.000000 0.000000 0.399913 0.383043 0.381600 0.406334 
18 0.000000 0.000000 0.383844 0.366267 0.403124 0.392544 
19 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
